date,ticker,signal,weight
3/14/2024,CHRW,1,0.25
3/14/2024,MOH,1,0.25
3/15/2024,PARA,1,0.3333
3/15/2024,PYPL,1,0.3333
3/15/2024,DVA,1,0.3333
3/18/2024,GILD,1,0.3333
3/18/2024,ADM,1,0.3333
3/18/2024,MOH,1,0.3333
3/19/2024,GE,1,0.3333
3/19/2024,ADM,1,0.3333
3/19/2024,MO,1,0.3333
3/21/2024,MPC,1,0.3333
3/21/2024,FOXA,1,0.3333
3/21/2024,PAYC,1,0.3333
3/22/2024,APTV,1,1
3/25/2024,CAG,1,0.3333
3/25/2024,KEY,1,0.3333
3/25/2024,AES,1,0.3333
3/26/2024,NFLX,1,0.3333
3/26/2024,ADM,1,0.3333
3/26/2024,APA,1,0.3333
3/27/2024,QRVO,1,0.5
3/27/2024,BMY,1,0.5
3/28/2024,PG,1,0.5
3/28/2024,ALB,1,0.5
4/1/2024,EW,1,0.3333
4/1/2024,WDC,1,0.3333
4/1/2024,ALB,1,0.3333
4/2/2024,IBM,1,0.25
4/2/2024,NI,1,0.25
4/2/2024,APD,1,0.25
4/2/2024,KEYS,1,0.25
4/3/2024,XRAY,1,0.3333
4/3/2024,VTR,1,0.3333
4/3/2024,HUM,1,0.3333
4/4/2024,MPWR,1,0.3333
4/4/2024,DG,1,0.3333
4/4/2024,PAYX,1,0.3333
4/8/2024,MPWR,1,0.5
4/8/2024,MMC,1,0.5
